id,name,price,dist_to_coast,X,Y
641626442542109400,Manly harbour view Eastern Hill appartment,460,6.620210228189504,341083.010613461,6258061.518402999
775552,Balmoral beach Garden Oasis  Mosman,190,457.3031326550034,337728.13601621176,6255830.814308081
71866,A Jewel Amongst Greenery,200,1124.446322272656,338380.36863631476,6246603.876385539
86853,Bondi Beach Break 2 Bedroom Apt,290,662.719765841457,339776.6144152783,6248213.804559801
103273,Hastings Family Hideaway—Footsteps to Bondi Beach,340,123.07260472182244,341337.6303641048,6248740.333187299
787970,Beach to home in 3 minutes: Bondi N,240,241.41455143954394,341168.8092123745,6248821.769235361
287388,Your own little Sydney terrace close to everything,340,2845.895144499616,333535.2419721959,6247471.934525672
290146,"Bellevue Hill Designer, Beaches, City and Views",300,1527.0803817222366,338867.5864658522,6249123.560985038
1181214,Huge amazing art-filled Annandale warehouse,330,1518.5945326656738,330920.8122534089,6249003.269317901
1184688,Manly - Gorgeous Large Art Deco Apartment,330,335.7115588045264,340934.8831587675,6259169.400891168
1188276,Spacious and bright art deco close to the  beach,210,908.4679063626597,339997.15462525905,6249124.903558592
1218594,BONDI HAVEN- CHIC 2 BEDROOM APARTMENT,200,852.9152292099835,340012.94231290347,6249066.378288471
813853,Perfect Position on Queen Street,240,1560.9868257311452,337246.7162021068,6248908.462774594
822347,STUNNING City Loft Warehouse Apt,640,1875.0233033459938,333110.91993085615,6248351.936918227
1257706,Newly-renovated Designer Beach apartment,300,633.4581381133252,340800.6198213409,6249208.284730107
1321338,Boutique Penthouse Style Apartment with Deck Walkout,510,1843.935343449499,338484.1855267682,6248384.927605322
386997,Beautiful 2 Bedroom Apt Min Walk to the City,250,1491.214858993244,333354.03800548683,6248889.784009298
405375,Stanmore whole home - 2 large dble bedrooms,440,2531.332418377157,330399.3035046621,6248098.678224783
866422,"Studio Apartment@Manly Beach,Sydney",170,198.37426732426712,341352.21367567923,6259134.204135748
408330,Bondi Beach -  Beachfront Stunner,390,338.2844446523253,340549.2804520506,6248804.734868586
869528,Fabulous 2-bed apt in Potts Point,790,514.8841930713185,335710.81533878145,6250470.533290597
871059,Apartment on Balmoral Beach Hill,240,722.0512395411308,337461.24981385574,6256171.245767275
472566,Manly Sunshine Cottage - quiet family retreat,180,1323.9643987900747,340262.19028684706,6260406.055372575
1484520,"Comfortable Apartment in a Character Building, Best Location",540,142.79176818822685,332612.6636396647,6254743.890539782
934543,"Private, quiet, boutique home 2 BR",140,705.6564470985007,340724.5285119437,6259509.7544752285
1018623,Designer Warehouse Apartment Sydney (walk to city),1100,397.2603638395106,336117.40193640767,6250072.661553898
1606341,THE BEACH PAD @ BONDI BEACH,260,281.93386361950326,340711.80990327056,6248821.882013349
725235,Harbourside Apartment in Sydney,570,29.73824305867963,332127.94787068653,6253394.750950662
1713966,Bondi Executive Penthouse with Parking and AC,310,984.0458504560896,339582.687050004,6248741.871691396
1131054,Executive Luxury design Apartment,620,1624.301765430115,336951.51928238466,6248751.4284825325
765765,Beachside Love Shack Bronte,330,144.88161892819542,339808.54329255957,6247034.079044493
1818516,Charming sandstone and timber house,400,428.65758667628563,331269.0992477698,6251422.170511188
2077065,"Enjoy Ocean Views, Balcony, Garage, Two Min Walk to Beach",260,199.73803614930878,341458.9756902475,6260527.742844509
1837068,Relaxing Holidays on Balmoral Beach,350,118.27139837244673,338272.87848868093,6255481.788837149
1852715,Quiet Oasis in Darlinghurst,420,689.1219322749575,335763.43525786244,6250033.1613522675
2089480,Sand Sun Surf for 4. City just 9km,180,228.80750995746294,338801.64070622344,6242442.355980983
1808700,Luxury waterfront & amazing views,2300,18.103124790880198,335095.6149820108,6252864.829191463
1893048,Lovely 2 br Bondi Beach Apartment,250,1006.5036652370385,340066.43828279956,6249295.78791458
2132102,Highly Recommended Bondi apartment,210,280.23440939650783,340372.8997345042,6248620.96236643
2694037,Kookaburra Beach House Apartment Close to Coogee Beach,490,525.6888796874803,338443.4625219089,6245288.232278656
2197550,Harbourside Apartment,1000,12.095041301661867,336106.8185052215,6250901.118286368
2218225,Cowper Apartment -Randwick Close to Beach City,340,2203.977758597873,337190.11361037823,6246652.312002131
1968430,Nth Bondi 2BD Serene & Child friendly + Pool,370,463.4431982904754,340949.03861307126,6249295.074386524
1979812,THE BEACH RETREAT,330,403.0888144331651,338570.61053689726,6244881.0709695555
2238586,Townhouse in the Trees,560,165.01237224720046,332935.0492761408,6252200.371362567
1989968,Spacious comfortable 2 bedroom. Handy location.,240,2272.5515069365406,337067.91416204965,6246497.133296903
2291780,Stunning apartment-Full city views!,290,3463.9461393173074,331898.10256424604,6246732.01603372
2827438,Split level 2-bedroom apartment w/ carspace,150,3768.440543890149,334520.66266557627,6246765.89184474
2832968,2b sun soaked Bondi beachfront apt,270,149.68862880640097,341281.6642554125,6248600.694326639
2392859,Renovated Historic Sandstone Home with Plunge Pool,450,684.7879641525503,340291.31670527044,6259386.036405602
2022235,Your Sydney Home Away From Home,490,147.81275732271467,336080.3249747708,6253834.723977452
2027798,Quiet and convenient with parking near Central,160,1238.05575368725,333245.42036144866,6249121.942582771
2890011,The Beautiful Bungalow,290,4155.724348604032,329353.85067971033,6245839.084097771
2407046,"Sunny Loft Lookout with Opera House, Bridge & City Views",950,112.92199277718696,335697.09083081794,6251050.455593629
2438152,Large flat - steps from Bondi Beach,720,218.2872727629746,341261.66001966107,6248912.062012251
2062003,Inner West Sydney Townhouse,230,174.39389461402516,330205.1069423255,6251564.081610451
3115490,Kookaburra Grand 2 bed apt air-cond with garden,550,525.7623255684866,338443.35552873113,6245288.0982961245
2511345,Quiet Beach House,460,769.0997485622082,339731.1603430322,6248550.255703349
2546323,beautiful private  garden studio in sydney,120,236.9387226363495,334813.08174454723,6258754.908849739
2547558,Sweeping City Views from an Elegant Apartment,420,1239.216213819254,331324.7239042354,6249226.701620651
3220450,Hear Native Birdsong from a Sunny Inner-City Sanctuary,270,2700.2536599254554,330923.4698064525,6247807.396263557
4236007,Manly Beach House,270,466.51918705847845,341035.2087363804,6259731.39746478
3273191,2BR Apt-CBD/Anzac Bridge/Mtn. Views,210,1471.9490599687897,330560.43406340404,6249178.712897519
4251796,Ultimate Bondi Escape+  Balcony+  Stunning Views!,660,62.81226462719121,340449.4552611826,6247863.510861569
4252825,City Fringe Apartment,290,1908.9911061668724,334123.51958070195,6248585.989706473
3335117,Inner City Executive Town House in Garden Oasis,570,1114.9103027795998,334998.0422240214,6249901.319271685
3988362,"The Sanctuary, Private Garden Apartment at Bondi Beach",460,377.97583850952606,340088.1647597202,6248389.882565155
4008182,The Copper House,360,584.0323525646576,338698.5617259046,6246057.976516567
3407081,Breathtaking Ocean Views,730,20.088495565978196,340490.8080147413,6247879.735273596
3443845,sunny bondi beach top floor views,180,558.8362332456336,339881.39517751423,6248198.93259944
3489739,Contemporary Top Floor Apartment,270,2822.160758287573,334925.89820167737,6247929.949778013
3499364,Apartment Two,500,1113.8391144191041,335087.39683210774,6249870.700701123
3518136,Stunning Manly Beach views - 906 Manly National,140,193.95343829104868,341365.72902573127,6259101.151820466
4144932,Sydney City Central StudioApartment,320,1016.6346490330099,334538.4296964798,6249941.027813798
4145041,Hyde Park Plaza Apartment,310,1011.5079594672887,334565.1363089654,6250001.394989947
4379780,Prime Beachfront Apartment Manly Beach,550,186.58198500289598,341606.26303132065,6258670.329463764
4380558,Modern spacious inner city apt,360,786.989215256819,330279.79521448864,6250542.615685701
4387602,Convenient Kings Cross Apartment,220,735.0571961641123,335519.4521203664,6250193.228195662
4483704,Bright and beautiful in the heart of Balgowlah,110,1061.7570100519374,339239.5533798203,6259916.330298131
4493839,"Stylish, comfortable, beachside residence",210,284.95434644403514,339050.2607202654,6246097.225803921
4753664,Ideal for quarantine // easy living,120,2913.319580267367,336027.609349706,6245146.952248705
4766592,The Dome Seaforth near Manly,600,229.42866222084464,336973.22273409413,6259695.9319169
4771018,2 Bedroom Bondi Penthouse,230,276.6698502601829,340325.57344057737,6248574.687032413
4561042,Harbour Front Accommodation,2500,134.70912339173765,333282.6107549498,6250852.007646957
4958261,Rooms with a view in Rozelle Sydney,240,406.0163137743478,330331.3420940205,6251335.595195329
4615956,Beach Front Bliss,610,73.45022017251583,341467.09180556465,6259192.9083950855
4624812,2 large bedrooms. Amazing location,130,207.5686909448336,341675.04321895255,6258599.3716281485
5043008,"Studio (balcony)@Manly Beach,Sydney#",140,188.98206299089267,341349.43923024466,6259189.620018458
5052611,"Luxury close to City,Bondi Beach in Bondi Junction",420,1813.0577821982201,337755.5748559863,6248635.409459969
4883406,2 Bedroom Apartmnt Heart Of CBD FREE PARKING SPACE,600,916.526983727056,334446.123600474,6249981.5736562405
4674109,Redfern Cool  2 Bed Retreat,250,2454.490072706211,334523.32152586,6248152.569486448
4688422,Manly - Ocean & Harbour Beaches,210,101.5853593161971,341192.9512937962,6258076.662141439
5672994,"Home away from home, great location",240,3095.035988992488,332490.15377298876,6247041.997915942
6020591,SEA BREEZE @ Bondi Beach,220,198.039412060212,340160.9618901821,6247802.086753033
6174915,2bdr urban pad Art Deco amongst it all,270,1382.9537341939717,335060.6641874556,6249598.4588444475
5826286,OCEAN COVE - hosted by: L'Abode Accommodation,360,202.94131269648304,339425.1139626384,6246134.635138017
5551123,Modern Resort Style Living,830,302.5696733465367,336148.11273071833,6250169.699306815
5560772,Modern Studio Glebe Forest Lodge,260,886.5016399484181,331704.4033330808,6249625.024675053
5887408,"Historic cottage, walkable creative area, parkview",330,2225.59744865261,331844.74900959723,6248021.213530711
5606539,Manly Beach Hideaway in Sydney,150,314.54704598911854,341224.70890662575,6259172.01401086
6661036,PYRMONT Harris St -Long/Short term avail: L'Abode.,520,319.06067765182706,333058.3170753556,6250767.091838176
6485882,Sydney Inner West 1-2 BR Apartment near bus/train,120,2920.4044820883382,329746.74563084636,6247654.361610077
7118281,Sunny deco apartment close to beach,270,792.303187135582,338535.83678016474,6246218.2738261055
6518631,Art Deco Family Apartment on Manly Beach,180,318.9600026786439,341192.133748068,6259960.142044624
7211024,Apartment on water's edge,240,161.98288056254222,341973.24335302715,6258486.741262691
7224525,Quiet Oasis on the Cusp of Surry Hills,250,2980.3567042280665,334654.3923768499,6247637.916875895
6896098,Entire Modern Apartment Chatswood,320,2732.3529341855774,331882.27715856594,6259202.63060719
6925526,Stylish and Spacious Apartment Next to Beach with Garage,490,478.39130644293675,338583.96829502867,6245509.152301211
6939964,LOVELY BALMAIN TERRACE NEAR FERRY,440,338.7517361267491,331953.5573218385,6252227.452056421
6626617,Stunning Apartment at Bondi Beach,550,853.0381176685261,340179.30871568527,6249185.651404698
7353616,Large SunnyTerrace by Queens Park& Centennial Park,370,1586.4476293132468,338100.05864412175,6246987.348676561
7536161,"2 bedroom apartment with water views, Manly",360,296.60431041198814,340286.7090409775,6258997.722507365
