id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
17949628,Dreamy Thomson St Terrace,12557877,Rachel,,Sydney,-33.87909,151.21747,Entire home/apt,140,90,4,2017-10-02,0.06,1,0,0,
18466687,Very close to public transport.  View of garden.,126722006,Ivor,,Ku-Ring-Gai,-33.76658,151.17518,Private room,46,90,2,2020-01-03,0.03,3,208,0,
17950974,"Charming and Affordable home with"" Pool & Cabana""",123172949,Melissa,,Warringah,-33.7408,151.27255,Entire home/apt,461,3,12,2022-03-26,0.20,1,77,5,PID-STRA-17089
18259066,Private Ensuite room wt own access @ North Sydney,44710018,Patricia,,North Sydney,-33.83894,151.20299,Private room,85,2,40,2022-01-14,0.67,1,0,7,PID-STRA-25247
18470384,Only 4 km to CBD Spacious room with bathroom.,102763586,Lu,,Sydney,-33.90521,151.20263,Private room,85,90,11,2020-01-01,0.17,2,0,0,
18259324,Brand new entire home with bush views and pool!,6262573,Sariah,,The Hills Shire,-33.68591,150.93997,Entire home/apt,495,90,24,2020-12-31,0.37,1,0,0,
17961117,Cozy room in Mosman,5304527,Christina,,Mosman,-33.8331,151.24394,Private room,69,90,0,,,1,0,0,
18476247,Sunny Bondi Beach apartment with large balcony,8865078,Katie,,Waverley,-33.88757,151.27365,Entire home/apt,250,90,0,,,1,0,0,
18478241,2 beds - Opposite Manly beach with ocean views,128180173,Nick,,Manly,-33.79528,151.28652,Entire home/apt,500,90,1,2017-05-17,0.02,1,0,0,
18478703,Close to train&light rail station near Sydney city,107344867,Bella,,Marrickville,-33.89247,151.14831,Private room,178,90,2,2018-02-19,0.03,1,0,0,
17963653,Double Rooms - AMAZING location in Manly,61148901,Peter,,Manly,-33.7981,151.28795,Private room,110,1,9,2022-04-23,0.19,7,153,4,Exempt
18276089,"Executive Apartment, Potts Point, Sydney",21151187,John,,Sydney,-33.87259,151.22412,Entire home/apt,299,4,4,2021-09-10,0.06,32,252,1,Exempt
18478723,悉尼市中心新公寓楼大床房,128185069,Jianhua,,Sydney,-33.88045,151.20322,Private room,100,90,0,,,1,0,0,
18481453,Cosy 1 BR in Potts Point,41733360,Winnie,,Sydney,-33.87277,151.22524,Entire home/apt,100,90,2,2018-02-02,0.03,1,0,0,
18276926,THE VIEW by Palm Beach Holiday Rentals,23717928,Palm Beach Holiday Rentals,,Pittwater,-33.60514,151.33283,Entire home/apt,1540,3,0,,,66,153,0,PID-STRA-27061
18278855,Large ensuite bedroom in amazing location,126388218,Laura,,Sydney,-33.87074,151.19625,Private room,70,90,0,,,1,0,0,
17965186,Comfy Double Bed in private room,41423540,Anthony,,Liverpool,-33.95117,150.96098,Private room,75,90,0,,,2,365,0,
17966690,The feeling of home by the sea,123382716,Matthew,,Warringah,-33.78315,151.28329,Entire home/apt,92,90,3,2017-06-10,0.05,1,0,0,
18482032,"CBD penthouse, huge master bedroom!",1579998,Lydie,,Sydney,-33.87804,151.19719,Private room,116,90,2,2019-07-28,0.03,5,0,0,
17966840,*Surf or The Turf* Close to the CBD,74223255,Fiona,,Randwick,-33.90969,151.23704,Entire home/apt,100,90,0,,,1,0,0,
18293432,"Close to City, Airport, Train Station & Beach",120121844,Payam,,Rockdale,-33.94097,151.14495,Entire home/apt,270,1,330,2022-09-04,5.05,3,214,60,PID-STRA-22325
18494596,Deluxe one double bedroom water and city view,120516290,潇雨,,Canada Bay,-33.82818,151.08653,Private room,58,90,0,,,1,0,0,
18495407,自由行住房,92979880,Frank,,Canterbury,-33.92612,151.1058,Private room,45,2,83,2022-08-18,1.32,3,296,19,PID-STRA-13205
18295199,Beautiful cottage in the centre of Balmain,1629446,Jennifer,,Leichhardt,-33.85799,151.18025,Entire home/apt,220,90,6,2017-09-16,0.10,1,0,0,
18498155,Large master room with AC & sofa in Chatswood,10144294,Mandy,,Willoughby,-33.80033,151.18549,Private room,62,90,34,2021-08-13,0.68,5,220,0,PID-STRA-26846
18297266,Cozy and stylish Villa. Only 10 minutes to airport,59819979,Alinda,,Rockdale,-33.9531665976856,151.1546560773822,Private room,85,1,341,2022-09-07,5.21,1,90,46,Exempt
18313032,Absolute beachfront in Coogee!,11338221,Simon,,Randwick,-33.92143,151.25502,Entire home/apt,150,90,2,2017-04-25,0.03,1,0,0,
18314653,Modern 1 bed apartment - Central North Sydney,20372561,Samuel,,North Sydney,-33.83379,151.20462,Entire home/apt,150,90,1,2017-12-31,0.02,1,0,0,
17977387,Modern & spacious beachside apartment,34075626,Mikaila,,Sutherland Shire,-34.04562,151.15298,Entire home/apt,371,2,3,2022-04-18,0.35,1,10,3,PID-STRA-30107
17980212,Brand new apartment 5 minutes walk from the beach.,28399379,Gregory,,Waverley,-33.88762,151.27241,Entire home/apt,160,90,7,2020-02-06,0.11,1,89,0,
18506879,Very comfortable and quiet. Airport pick up/drop,106943970,Raghbir,,Blacktown,-33.73328,150.89129,Private room,45,90,0,,,1,0,0,
17981795,Coogee 2Br - 3-5 mins walk to beach,58675772,Emma,,Randwick,-33.9233,151.25443,Entire home/apt,300,90,7,2020-01-01,0.15,1,270,0,
18507709,COLLINS HOUSE by Palm Beach Holiday Rentals,23717928,Palm Beach Holiday Rentals,,Pittwater,-33.59382,151.32113,Entire home/apt,1341,3,3,2019-07-15,0.07,66,165,0,PID-STRA-19304
17982961,SUPER STUDIO FOR SUPER LOW RATE! BEST LOCATION!,13291359,Rebecca,,Sydney,-33.87562,151.22406,Entire home/apt,124,10,10,2022-07-11,0.15,2,344,2,PID-STRA-25739
17986207,This is your home away from home,49783102,Rena Kang,,Sutherland Shire,-34.03788,151.08038,Entire home/apt,148,90,4,2017-08-08,0.06,1,0,0,
18316061,Insta-worthy rainforest retreat with private pool,10132237,Louise,,Lane Cove,-33.82729,151.18205,Entire home/apt,320,1,7,2022-08-07,0.11,8,7,2,PID-STRA-12973
18332519,Cosy private bedroom & bathroom,6310049,Henning,,North Sydney,-33.82354,151.19894,Private room,70,90,2,2017-11-18,0.03,1,0,0,
18508154,Bondi 4 Bedroom Semi with Modern Finishes,36416854,Frank,,Waverley,-33.88999,151.25886,Entire home/apt,700,90,3,2018-01-07,0.05,1,0,0,
18346630,CETACEAN by Palm Beach Holiday Rentals,23717928,Palm Beach Holiday Rentals,,Pittwater,-33.61135,151.32865,Entire home/apt,3099,3,1,2017-11-11,0.02,66,41,0,PID-STRA-21701
17988068,Spacious Unit  100 metres from Station Entrance.,33616849,Paul,,Bankstown,-33.92494,151.05559,Entire home/apt,75,90,50,2021-06-21,0.79,1,157,0,
18510106,Light-filled 2 Bed Apartment close to Bronte beach,2707132,Matthew,,Waverley,-33.90257,151.25345,Entire home/apt,110,90,1,2017-08-29,0.02,2,0,0,
18007741,Beach Trio Pad,47352778,Andrea,,Waverley,-33.89091,151.27458,Entire home/apt,199,90,4,2018-08-24,0.07,1,286,0,
18346930,Family friendly garden apartment in great location,13536340,Leandro,,North Sydney,-33.8308,151.19884,Private room,150,90,0,,,1,0,0,
18510313,"Brand new, spacious top floor Newtown apartment",83434639,Kathryn,,Marrickville,-33.90397,151.17666,Entire home/apt,125,90,11,2019-01-02,0.17,1,0,0,
18347914,Private 1 bed apartment in fabulous city location,5593897,Dan,,Sydney,-33.87714,151.21941,Entire home/apt,85,90,5,2018-04-17,0.08,1,0,0,
18510598,Paradise Country Living near City and Beaches,127502754,Robert,,Warringah,-33.67409,151.18485,Entire home/apt,170,1,44,2022-08-01,0.71,3,342,19,PID-STRA-4290
18350061,Clean and Large single room close to airport,126988885,Darren,,Botany Bay,-33.92651,151.20864,Private room,35,90,2,2017-05-02,0.03,2,0,0,
18008686,Bondi hideaway - few mins to 3 beaches!,123798955,Anita,,Waverley,-33.89509,151.26999,Private room,65,2,101,2022-09-04,1.53,1,237,19,Exempt
18008898,Beautiful Apartment North Manly - Water views,99716729,Adrian,,Warringah,-33.7831,151.2857,Private room,60,90,1,2017-07-28,0.02,1,90,0,
18514675,Contactless Studio - Sydney City 7 mins by train,52117665,Sinead,,Sydney,-33.90177,151.18174,Entire home/apt,121,1,311,2022-08-23,4.80,2,300,60,PID-STRA-5333
18009658,"Comfy & Leafy Miranda2,  5km to Cronulla Beach",12275052,Rhonda,,Sutherland Shire,-34.04353,151.09308,Private room,75,2,8,2022-06-18,0.12,2,66,1,PID-STRA-17698
18351167,"★160m2 LUXURY ROOFTOP PENTHOUSE, OCEAN VIEW,GARAGE",9421508,Peter,,Warringah,-33.75523,151.28545,Entire home/apt,324,4,41,2022-09-02,0.71,1,216,1,PID-STRA-32890
18517743,SYDNEY CITY $35/night for each 5th and 6th guests,128536746,Hermie,,Sydney,-33.87749,151.20543,Entire home/apt,100,3,49,2020-07-14,0.77,1,111,0,PID-STRA-39746
18360193,Comfy modern private bedroom,28945261,Brad,,Sydney,-33.8964,151.19732,Private room,95,90,4,2017-08-18,0.06,1,0,0,
18360522,Looking for somewhere to stay? Look no further!,13254588,Jessica,,Randwick,-33.95682,151.22643,Private room,45,90,7,2017-10-18,0.11,2,0,0,
18010106,Terrace house in amazing location,123815160,Deon,,Sydney,-33.88152,151.21519,Private room,50,90,0,,,1,0,0,
18010181,3 bedroom 2 toilet,123815850,Salah,,Blacktown,-33.76191,150.90427,Private room,150,90,1,2017-07-15,0.02,1,83,0,
18525800,"Lovely apartment in Surry Hills, Central, Sydney.",104790936,Soren,,Sydney,-33.88787,151.21343,Entire home/apt,150,90,2,2017-08-01,0.03,1,0,0,
18010908,Newly Renovated Family Friendly Oasis,2103889,Georgia,,Warringah,-33.73212,151.27641,Entire home/apt,550,5,9,2022-01-16,0.14,1,71,3,PID-STRA-18680
18361940,MOSMAN 2018  Lovely Modern Sophistication,108495554,Sue,,Mosman,-33.83308,151.23616,Private room,118,2,13,2022-03-30,0.22,3,207,3,PID-STRA-24622
18526953,A spacious Victorian master bedroom.,128616898,Geoff And Maggie,,Ashfield,-33.88113,151.11888,Private room,82,90,23,2019-11-30,0.36,2,0,0,
18362236,Beautiful Family Home - 5 mins to Northern Beaches,101419422,Beth,,Warringah,-33.72962,151.28287,Entire home/apt,125,90,2,2017-07-27,0.03,1,0,0,
18528096,Deluxe Ocean View room with en suite bathroom,61148901,Peter,,Manly,-33.7974,151.28703,Private room,125,1,21,2022-06-29,0.34,7,327,5,Exempt
18362449,lovely flatmate in bondi beach,38540943,Alix,,Waverley,-33.89102,151.27152,Private room,60,90,0,,,1,0,0,
18528260,"Spacious, bright room",27613547,Raquel,,Sydney,-33.88718,151.20748,Private room,50,90,4,2017-06-01,0.06,1,0,0,
18363483,Moments from Airport by Train & 1 Stop to Central.,2726501,Chris,,Sydney,-33.9027,151.2006,Entire home/apt,99,90,132,2020-03-30,2.02,1,0,0,
18015295,Mulgoa - Country Home,113269619,Silvia,,Penrith,-33.7708,150.65378,Entire home/apt,770,2,62,2022-07-04,0.94,1,150,14,PID-STRA-14714
18528412,Bondi Beach luxury living 791,14739318,Anna,,Woollahra,-33.88728,151.26538,Private room,171,90,0,,,8,0,0,
18026275,Bondi Paradise,8557626,Harry & Veronica,,Waverley,-33.88908,151.27745,Entire home/apt,85,90,48,2018-11-24,0.73,4,1,0,
18364525,"Rozelle Basic House,close to city,cafes & bars",127145123,Nickolas,,Leichhardt,-33.86306,151.16642,Entire home/apt,99,90,38,2017-11-21,0.59,1,0,0,
18529774,Surfside Getaway in the Heart of Manly,279001183,MadeComfy,,Manly,-33.79417,151.28484,Entire home/apt,703,3,58,2022-08-09,0.92,181,303,2,PID-STRA-37653
18365887,The amazing place in the wholesydn.,122812017,Weng,,City Of Kogarah,-33.96765,151.08602,Private room,189,90,1,2017-04-26,0.02,2,364,0,
18027255,Light-filled beachside Bondi double bed + sunroom,1163897,Alisa,,Waverley,-33.88467,151.27566,Private room,200,90,3,2018-01-02,0.05,1,0,0,
18530865,Spacious Light Filled Oasis in Bondi Junction,54257408,Clem,,Waverley,-33.89336,151.24616,Entire home/apt,500,4,8,2022-04-18,0.14,2,26,1,PID-STRA-16415
18029617,Large loft in charming Terrace,23116214,Laura,,Sydney,-33.88787,151.22847,Private room,75,90,6,2020-01-03,0.09,1,0,0,
18030368,Freda's blue house,15866843,Ella,,Sydney,-33.89425,151.20342,Entire home/apt,130,90,3,2018-01-08,0.05,1,0,0,
18031841,Beautiful Modern Family-Friendly 3-bed with Pool,46356904,Louise,,Ashfield,-33.87161,151.14595,Entire home/apt,314,90,1,2017-04-17,0.02,2,0,0,
18367523,warm and sweet，friendly and clean,127174045,Weihan,,Rockdale,-33.95435,151.1376,Shared room,85,90,1,2017-11-14,0.02,1,365,0,
18534347,Inner-City apartment minutes walk to dining hubs,279001183,MadeComfy,,Sydney,-33.87508,151.21962,Entire home/apt,170,3,108,2022-08-17,1.67,181,267,18,PID-STRA-19040
18368390,Contemporary Garden Townhouse,5493880,Rebecca,,Willoughby,-33.81923,151.20038,Entire home/apt,200,90,29,2018-11-25,0.45,1,0,0,
18041058,The Gardens: inner city apt.,32475713,Nicholas,,Botany Bay,-33.92386,151.21189,Private room,56,90,3,2017-04-23,0.05,1,0,0,
18780296,Large freestanding terrace,28599117,Kerrie,,Sydney,-33.88301,151.17907,Entire home/apt,300,90,1,2017-05-31,0.02,1,0,0,
18786713,Huge self contained studio,104993087,J,,The Hills Shire,-33.74884,151.03992,Entire home/apt,115,90,1,2017-12-18,0.02,1,0,0,
18540307,Breathtaking ocean vistas - private studio retreat,128692647,Sunja,,Pittwater,-33.65308,151.31367,Entire home/apt,120,90,74,2019-04-27,1.14,1,0,0,
18792813,Tropical Bondi Beach Garden Apartment,10259847,Gemma,,Waverley,-33.88753,151.26785,Entire home/apt,100,90,2,2017-06-04,0.03,1,0,0,
18796359,Master-room & super good location and parking,87650075,Feng,,Strathfield,-33.86662,151.08946,Private room,75,90,5,2017-09-17,0.08,2,0,0,
18796870,Good location & car parking private bedroom,87650075,Feng,,Canada Bay,-33.86467,151.08966,Private room,69,90,1,2017-07-08,0.02,2,0,0,
18368478,Room for rent in Chatswood/North Willoughby,47814338,Teddy,,Willoughby,-33.794,151.19726,Private room,50,90,10,2018-01-01,0.16,1,0,0,
18376124,SPLASH by Palm Beach Holiday Rentals,23717928,Palm Beach Holiday Rentals,,Pittwater,-33.61589,151.33053,Entire home/apt,1431,3,0,,,66,171,0,PID-STRA-26408
18548200,Ultimo One Bedroom Suite  - 14+ Nights,125590978,Timo At Veriu Broadway,,Sydney,-33.88352,151.19654,Private room,270,1,0,,,10,247,0,Exempt
18376457,THE GLASS HOUSE by Palm Beach Holiday Rentals,23717928,Palm Beach Holiday Rentals,,Pittwater,-33.60348,151.32102,Entire home/apt,1447,3,1,2017-10-30,0.02,66,107,0,PID-STRA-13964
18549479,Charming stylish home in convenient location,15754725,Judy,,Mosman,-33.82321,151.23185,Entire home/apt,250,2,39,2021-05-22,0.65,1,45,0,PID-STRA-13390
18377824,TRADE WINDS by Palm Beach Holiday Rentals,23717928,Palm Beach Holiday Rentals,,Pittwater,-33.61267,151.32963,Entire home/apt,1056,3,2,2022-08-21,0.88,66,137,2,PID-STRA-9549
18378060,CORAL TREE COTTAGE by Palm Beach Holiday Rentals,23717928,Palm Beach Holiday Rentals,,Pittwater,-33.61246,151.32922,Entire home/apt,1273,3,5,2021-11-13,0.08,66,162,1,PID-STRA-26396
18796884,Bondi Lifestyle - Central to Bondi Junction,130849667,Victoria,,Woollahra,-33.88853,151.24933,Entire home/apt,256,90,20,2018-01-27,0.31,1,0,0,
18549601,10min to Airport 25min to city central Queen room,8883279,Bonnie,,Hurstville,-33.94554,151.07959,Private room,99,90,1,2019-11-22,0.03,1,0,0,
18797167,Convenient 1bedroom place in Sydney city.,130851812,Raymondo,,Sydney,-33.87739,151.21211,Entire home/apt,79,90,0,,,1,0,0,
18797238,Clovelly one bed apartment,41695410,Catherine,,Randwick,-33.90857,151.25018,Entire home/apt,220,90,1,2018-01-01,0.02,2,84,0,
18379657,Beachside bedroom in Bondi house,4263246,Anna,,Waverley,-33.892,151.26689,Private room,72,90,8,2020-01-26,0.12,1,0,0,
18383639,Luxury Heritage Home,127328375,Chris,,Sydney,-33.87434,151.18292,Entire home/apt,185,90,6,2021-06-22,0.14,1,64,0,
18552504,Large light-filled room in friendly sharehouse,128801433,Hildy,,Marrickville,-33.92249,151.15436,Private room,40,90,0,,,1,0,0,
18396144,Bronte’s little Tree House,21981647,Charlotte,,Waverley,-33.90279,151.26094,Entire home/apt,87,90,2,2018-04-02,0.04,1,0,0,
18800201,Close to Sydney,107339792,Lalith,,Ryde,-33.79828,151.12077,Private room,49,90,18,2021-12-19,0.28,7,0,3,PID-STRA-19141
18552540,Bondi Beach Pad - Master Bedroom,16072524,Juliette,,Waverley,-33.88858,151.27055,Private room,70,90,1,2019-01-01,0.02,1,0,0,
18800782,Funky Newtown Pad,86730,Claire,,Marrickville,-33.90571,151.177,Private room,90,90,2,2018-03-08,0.03,1,0,0,
18553080,Beach View Apartment  - mins to the sand Tamarama,58964574,Yasmin,,Waverley,-33.8965,151.26764,Entire home/apt,84,90,9,2019-02-03,0.16,1,0,0,
18569141,Sharing room,63348063,Malika,,Sydney,-33.87226,151.19862,Shared room,35,90,1,2017-05-12,0.02,1,0,0,
18809058,Bronte beach studio in Sydney's Best Suburb Apt 3,10469992,Christina,,Waverley,-33.90746,151.26315,Entire home/apt,100,1,84,2022-08-03,1.33,4,157,4,PID-STRA-36133
18570931,FREYA by Palm Beach Holiday Rentals,23717928,Palm Beach Holiday Rentals,,Pittwater,-33.600479,151.322922,Entire home/apt,2235,3,3,2022-01-24,0.06,66,166,1,PID-STRA-23738
18810837,"Cloud 9 on Bondi Beach - yes, this is the view!",7601327,Anna,,Waverley,-33.89485,151.27385,Entire home/apt,393,13,28,2022-08-13,0.50,2,43,1,PID-STRA-12827
18811283,"Romantic Room -Quiet,25 min to CBD/Airport,Parking",105915413,Thor,,City Of Kogarah,-33.98747,151.09269,Private room,46,90,50,2020-03-26,0.78,4,0,0,
18827354,Room in Balmain,78942363,Jenni,,Leichhardt,-33.85895,151.17942,Private room,55,90,0,,,1,0,0,
18397965,Private Studio in Kogarah,127459826,Ana,,Rockdale,-33.97241,151.13832,Entire home/apt,89,2,71,2022-06-10,1.09,1,65,15,PID-STRA-1564
18403082,Cozy friendly 4bedroom  home .,33775106,Rosemary,,Camden,-34.00664,150.73046,Private room,70,180,19,2019-11-07,0.30,2,91,0,
18403367,Paradise Country Living near Beaches and City,127502754,Robert,,Warringah,-33.67431,151.18485,Entire home/apt,171,1,155,2022-08-29,2.44,3,347,56,Exempt
18412718,4 Brm Family Home - for Xmas and New Year,29481494,Michelle,,Willoughby,-33.81005,151.21699,Entire home/apt,600,90,0,,,2,0,0,
18576001,Clean and btight room near airport,126988885,Darren,,Botany Bay,-33.92818,151.20956,Private room,52,90,1,2017-05-17,0.02,2,0,0,
18583943,Chinamans Beach a Quiet little paradise in Mosman,8398997,Sandra,,Mosman,-33.81521,151.24822,Private room,150,2,91,2022-08-28,1.57,2,302,28,PID-STRA-7052
18585695,PALM BEACH COTTAGE by Palm Beach Holiday Rentals,23717928,Palm Beach Holiday Rentals,,Pittwater,-33.61642,151.32769,Entire home/apt,616,3,0,,,66,146,0,PID-STRA-18081
18414031,"Room to rent  - Great location, clean and tidy",117572807,Edith,,Randwick,-33.90909,151.2229,Private room,163,90,3,2017-05-07,0.05,1,181,0,
18827886,1 bed available in a share room,131107463,Christian,,Waverley,-33.89432,151.24865,Shared room,260,90,0,,,2,365,0,
18585845,Perfect for your next SMALL event!,10132237,Louise,,Lane Cove,-33.82729,151.18205,Entire home/apt,1800,1,5,2020-12-06,0.08,8,0,0,PID-STRA-12973
19072545,Unique Bohemian Beachside Home + Gorgeous Views,37516729,Monika,,Warringah,-33.78346,151.28258,Entire home/apt,106,90,0,,,1,0,0,
18598897,Beautiful apartment with harbour views,112363892,Andrew,,Woollahra,-33.88648,151.26493,Entire home/apt,245,90,9,2020-04-04,0.15,1,364,0,
18829286,Centre of Manly Beach Apartment -  Rooftop Pool,131119502,Elizabeth,,Manly,-33.796322,151.286423,Entire home/apt,225,2,140,2022-08-31,2.33,1,257,40,PID-STRA-9178
18601104,Beach apartment,13936397,Leann,,Manly,-33.79894,151.28794,Entire home/apt,150,90,0,,,1,0,0,
18829546,Cosy apartment for couples!,46550358,Jordi,,Waverley,-33.89488,151.25517,Entire home/apt,65,90,3,2017-06-05,0.05,1,0,0,
18829560,Bright sunny room above a shop!,29716820,Shane,,Sydney,-33.89594,151.18189,Private room,52,90,256,2021-08-30,3.99,3,265,0,
18830956,"Bright, spacious apartment - great location!",10703064,Andrea,,Woollahra,-33.88564,151.2635,Entire home/apt,89,90,3,2017-07-20,0.05,1,0,0,
19074437,Spacious and Bright Room,7962941,Rebecca,,Sydney,-33.88277,151.21497,Private room,70,90,0,,,1,0,0,
18603116,Large studio with balcony,129198168,Elodie,,Waverley,-33.8906,151.24556,Entire home/apt,93,90,5,2018-01-01,0.08,1,0,0,
19076086,Modern private room with incredible city views,47416848,Nicola,,Botany Bay,-33.92841,151.18618,Private room,75,90,0,,,2,0,0,
18841572,Spacious North Bondi Queen Bedroom,32249420,Charlie,,Waverley,-33.8823,151.27901,Private room,46,90,2,2017-09-18,0.03,1,0,0,
18603618,3 Bedroom Apartment - Location,11854424,Ann,,North Sydney,-33.83057,151.22594,Entire home/apt,160,94,101,2020-01-01,1.56,1,91,0,
18603756,Baby-friendly Stylish Paddington Townhouse,50608357,Susanne,,Woollahra,-33.88471,151.22463,Entire home/apt,450,90,12,2019-11-30,0.18,1,0,0,
18604359,Modern Apartment - Sydney City Fringe,67667705,Steve,,Randwick,-33.90884,151.21405,Entire home/apt,125,90,3,2019-01-02,0.05,1,0,0,
18842013,Family House Room 1,121772736,Italo,,Rockdale,-33.95662,151.12875,Private room,46,4,44,2022-08-27,0.68,3,66,4,PID-STRA-15308
19084431,"Bright, Multi-Level Townhouse Close to Crown St",21385139,Hometime,,Sydney,-33.89267,151.21112,Entire home/apt,190,90,12,2017-12-10,0.19,16,0,0,
18604597,Private Room at Top Ryde,48537596,Rahul,,Ryde,-33.8142,151.10638,Private room,50,90,4,2018-01-01,0.06,1,0,0,
19085386,Whole apartment near city & beaches,50431508,Marie,,Randwick,-33.90965,151.23497,Entire home/apt,120,90,18,2018-11-17,0.28,2,0,0,
18619560,Resort style Deluxe Studio- Gym-heated spa- pool,91932622,Paul,,Manly,-33.79647,151.28603,Entire home/apt,190,90,10,2021-02-14,0.17,6,180,0,
19087636,Spacious apartment near Darling Harbour Chinatown,83639969,Wai,,Sydney,-33.87909,151.19676,Entire home/apt,150,91,22,2021-06-20,0.35,1,91,0,
18843801,Beautiful ArtDeco apartment in the heart of Bondi,8584599,Anna,,Waverley,-33.88907,151.26976,Private room,90,90,0,,,1,0,0,
18619741,Spacious Maroubra beach house,6065255,Alex,,Randwick,-33.94834,151.25047,Entire home/apt,150,90,4,2018-01-04,0.06,2,0,0,
18620288,Harbour Views from North Sydney High Street,17714205,Holiday Rentals Australia,,North Sydney,-33.84326,151.21547,Entire home/apt,190,2,169,2022-09-01,2.61,7,19,28,PID-STRA-2271
18843931,Lux & Quiet Apartment in Potts Point,125769112,Gabriel & Emily,,Sydney,-33.87226,151.22368,Entire home/apt,129,1,154,2021-06-21,2.41,3,8,0,PID-STRA-21760
18844298,Waterfront Holiday Apartment,131253304,Victoria,,Canada Bay,-33.84659,151.15475,Entire home/apt,350,90,0,,,1,0,0,
18857191,Double room + queen bed + own bathroom,64249409,Luis,,Randwick,-33.91272,151.23994,Private room,30,90,0,,,1,0,0,
19100937,Cozy sun-filled room in friendly sharehouse,95580251,Nathan,,Marrickville,-33.922,151.1525,Private room,36,90,2,2017-08-31,0.03,1,0,0,
18636745,3 bedroom house in Curl Curl - short walk to beach,60273539,Camilla,,Warringah,-33.76751,151.28604,Entire home/apt,320,90,2,2018-12-10,0.04,1,0,0,
18858273,Sun drenched jewel in perfect location,896416,Margaret,,Sydney,-33.87603,151.22544,Entire home/apt,150,90,9,2020-02-29,0.14,1,362,0,
18637491,"Wow! Spacious! Views, Pool and  . . CARPARK!",129493189,Ct,,Rockdale,-33.92947,151.15515,Entire home/apt,300,90,28,2020-06-01,0.43,1,0,0,
18858442,"Private room with double bed,and private bathroom",130844705,Patricio,,City Of Kogarah,-33.9909,151.12888,Private room,69,90,3,2017-10-09,0.05,1,0,0,
18637982,Sydney Oasis 2 Large B’rooms Prvte B’room Sleeps 4,59510879,Rosanne,,Leichhardt,-33.85719,151.18551,Private room,240,2,26,2022-06-13,0.41,3,127,6,PID-STRA-20513
19102968,"Bright Pool House near Manly, Beaches & Harbour",61347351,Kristelle,,Manly,-33.79562,151.26787,Entire home/apt,124,2,87,2022-08-07,1.42,1,10,17,PID-STRA-13138-1
19104381,Darling Harbour Duplex,50471590,Mark,,Sydney,-33.87542,151.19797,Private room,80,90,6,2017-10-16,0.09,1,0,0,
18638715,Camperdown One Bedroom Apartment - 14+ Nights,60135494,Veriu,,Sydney,-33.88444,151.17962,Entire home/apt,217,1,1,2022-04-05,0.19,6,335,1,Exempt
18639063,Beautifully Furnished Beach Home.,105116989,Stav,,Waverley,-33.89833,151.27199,Entire home/apt,120,90,6,2017-07-21,0.09,1,0,0,
19104559,Cute 1 bedroom with private courtyard garden,86333173,JeanClaude,,North Sydney,-33.83343,151.21039,Entire home/apt,150,2,89,2022-08-30,1.40,7,126,12,PID-STRA-2551-8
18643430,Cozy and bright home in BONDI...special for you!,129539728,Ana,,Waverley,-33.88944,151.26228,Entire home/apt,69,90,1,2017-07-09,0.02,1,0,0,
18860223,Mead Manor,20099108,Maryclaire,,Rockdale,-33.94829,151.1433,Entire home/apt,190,90,2,2018-11-25,0.04,1,358,0,
18861155,Comfortable master bedroom in a family home.,130397870,Lana,,Campbelltown,-34.03137,150.84643,Private room,47,90,0,,,1,0,0,
18644136,Private executive beachside residence,44501469,Joy,,Warringah,-33.73166,151.29817,Entire home/apt,200,90,0,,,1,0,0,
18863041,Charming 1 bedroom apartment in Neutral Bay,9763142,Brigette,,North Sydney,-33.82761,151.22194,Entire home/apt,98,90,7,2019-04-28,0.11,1,0,0,
19105128,Unique waterfront boatshed,133485715,Tristan,,Willoughby,-33.79648,151.22961,Entire home/apt,100,90,0,,,1,0,0,
19108564,"Bright, top floor apartment close to Bondi Beach",11810741,Roisin,,Waverley,-33.88158,151.2719,Entire home/apt,120,90,0,,,1,0,0,
18656055,1 Bedroom Apartment in the heart of Cremorne,59678032,Sue,,North Sydney,-33.83032,151.22739,Entire home/apt,149,90,5,2017-11-25,0.08,1,0,0,
18863932,The Perfect Beach Pad In Bondi,7030630,Sam,,Waverley,-33.88774,151.27452,Entire home/apt,83,180,62,2020-04-04,0.98,1,0,0,
18659057,Luxury One Bedroom Apartment with Beautiful Views,4542626,Tina,,Sydney,-33.87954,151.21446,Entire home/apt,115,90,26,2022-07-28,0.41,3,188,2,
18865566,Convenient and beautiful split level 2 bedroom apt,131440319,Huy,,Sydney,-33.89722,151.21307,Entire home/apt,150,90,3,2018-06-10,0.05,3,0,0,
19110998,Modern furnished apartment close to everything,123472783,Bertrand,,Parramatta,-33.82381,151.01863,Entire home/apt,100,90,59,2020-05-26,0.94,3,0,0,
18661473,Light & Bright Bondi Beach Pad - Balcony Views,56287683,Layla,,Waverley,-33.89283,151.26853,Entire home/apt,454,90,1,2018-01-03,0.02,2,0,0,
19119705,"Courtyard studio, close to city",50312731,Mary,,Sydney,-33.88379,151.22006,Entire home/apt,129,2,84,2022-07-31,1.32,2,0,23,PID-STRA-25178
