id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
777278,PANORAMIC HARBOUR & CITY VIEWS!,4099460,Serena,,North Sydney,-33.83204,151.21408,Entire home/apt,145,90,9,2020-01-03,0.08,3,0,0,PID-STRA-25968
75702,Beachside haven with gorgeous sea & Headland views,402292,Helen,,Randwick,-33.96643,151.24885,Entire home/apt,123,3,308,2022-08-29,2.21,1,28,8,PID-STRA-4737
777307,Twin bed room in Hornsby Sydney (Room 2),4099655,Hong,,Hornsby,-33.68249,151.10458,Private room,81,90,50,2019-08-03,0.42,4,365,0,
249100,Rainforest garden apartment - deck,1305178,Judy,,North Sydney,-33.84357,151.21512,Private room,101,1,88,2020-01-05,0.67,2,69,0,PID-STRA-22297
86853,Bondi Beach Break 2 Bedroom Apt,476047,Ann,,Waverley,-33.8943,151.26724,Entire home/apt,254,2,146,2022-08-21,1.21,1,275,16,PID-STRA-6436
255090,Your Own Private Studio Apartment,1340540,Tommy,,Woollahra,-33.87621,151.2327,Entire home/apt,75,90,17,2019-09-07,0.13,1,194,0,
257847,FISHERMAN'S BAY BUSH COTTAGE -  Maianbar,1356919,Laelie,,Sutherland Shire,-34.07948,151.125,Entire home/apt,275,4,30,2022-01-07,0.40,1,188,1,PID-STRA-4351
781631,"Quality apartment, Quality location",1918111,Mike,,Sydney,-33.86658,151.22445,Private room,329,90,27,2016-04-14,0.23,1,365,0,
87709,Room + own Bathroom in Family Home!,480315,Marianne,,Ku-Ring-Gai,-33.70174,151.12481,Private room,70,90,24,2021-05-07,0.18,1,213,0,
783928,Potts Point Apt - Regents Court A,1261500,Hugh,,Sydney,-33.87255,151.22403,Entire home/apt,151,3,286,2022-08-28,2.48,5,18,29,Exempt
264513,Family Home on Willoughby Park.,1387801,Kristin,,Willoughby,-33.79382,151.20226,Entire home/apt,714,90,33,2020-03-15,0.26,1,0,0,
103273,Hastings Family Hideaway—Footsteps to Bondi Beach,185783910,Annie,,Waverley,-33.88978958129883,151.28421020507812,Entire home/apt,251,2,70,2022-08-28,0.51,36,352,5,PID-STRA-4507
276617,Potts Point Apt - Sunny with Views,1261500,Hugh,,Sydney,-33.8727,151.22403,Entire home/apt,151,3,320,2022-08-24,2.46,5,5,28,PID-STRA-8777
786623,Triple Size Loft + Private Ensuite,4147111,Kaye & Michael,,Manly,-33.80338,151.2627,Private room,145,2,5,2020-01-01,0.05,1,161,0,PID-STRA-25583
105938,Secret Beach Hideaway with Tropical Gardens,549372,Susanne,,Pittwater,-33.64793,151.31775,Entire home/apt,307,14,18,2022-08-06,0.25,1,329,4,PID-STRA-6470
787970,Beach to home in 3 minutes: Bondi N,1596176,Komang,,Waverley,-33.88903,151.2824,Entire home/apt,197,3,78,2022-09-08,0.66,1,23,9,PID-STRA-9694
283378,Wow factor Harbour & Fire works,1475640,Joe,,Sydney,-33.87561,151.22248,Private room,275,90,0,,,1,0,0,
287388,Your own little Sydney terrace close to everything,1495023,Jess,,Sydney,-33.90002,151.19963,Entire home/apt,300,5,10,2022-04-19,0.18,1,220,5,PID-STRA-13886
