avgMass,Ref,Location,NA_dem,NA_northing,NA_nFrostyDays,NA_nonGrowingDays,NA_nDaysFreeze,NA_OG1k,Long,Lat
8.5,VertNet,"1",2393.72314453125,39.404167175293,207.307281494141,304.593383789062,15.3059349060059,103.424339294434,-105.47278,39.40556
7,VertNet,"2",64.1587295532227,39.5125007629395,23,207.904022216797,0.93504786491394,19.2554664611816,-121.5574146,39.51355303
5.9,VertNet,"3",1665.86059570312,39.5458335876465,178.900741577148,274.939758300781,14.6727228164673,120.205657958984,-107.7838304,39.54398682
7.3,VertNet,"4",402.900726318359,39.720832824707,147.865646362305,245.713424682617,10.4841232299805,62.1439094543457,-96.63371,39.71815
7,VertNet,"5",1757.13061523438,40.4124984741211,182.364837646484,305.973968505859,10.3360366821289,32.5494079589844,-121.3735146,40.41628333
7.7,VertNet,"6",1574.31481933594,40.6291656494141,174.314193725586,280.26123046875,12.632266998291,102.070846557617,-105.142597,40.6267
8.8,VertNet,"7",252.449859619141,42.6624984741211,178.429580688477,278.225372314453,16.9873352050781,89.6497116088867,-77.9604,42.6664
6.9,VertNet,"8",301.865020751953,42.6875,179.935180664062,279.606781005859,17.6496391296387,89.8604354858398,-77.959171,42.685063
5.1,VertNet,"9",1329.37731933594,43.6458320617676,185.500595092773,277.196411132812,20.4764404296875,122.74885559082,-108.21139,43.64611
7.35,VertNet,"11",120.965293884277,44.0041656494141,184,283.661712646484,23.7579135894775,109.377044677734,-75.98409188,44.00700217
9,VertNet,"12",94.8349609375,44.029167175293,185.880126953125,284.552368164062,23.5076179504395,109.328491210938,-76.04515011,44.02795652
6.45,VertNet,"13",1186.81213378906,44.3791656494141,187,278.154144287109,25.2503032684326,115.391494750977,-108.03833,44.38
8.2,VertNet,"14",331.859924316406,44.5374984741211,197,283.664672851562,30.8291625976562,94.4551849365234,-89.55931843,44.53916842
6.9,VertNet,"15",1149.8876953125,44.7958335876465,192.269683837891,289.401336669922,21.160982131958,99.494384765625,-106.95556,44.79722
5.4,VertNet,"16",1203.56750488281,44.8791656494141,197.032745361328,292.641571044922,20.5316715240479,101.302772521973,-107.26167,44.87528
9.233333333,VertNet,"17",264.668304443359,45.2958335876465,185,275.686370849609,32.4349555969238,115.862045288086,-93.5833333,45.3
6.45,VertNet,"18",32.4346199035645,47.9124984741211,48.9830741882324,278.727600097656,2.51907539367676,28.4133205413818,-122.0981404,47.91291997
6.725,VertNet,"19",10.5710277557373,48.7625007629395,59.0682525634766,286.179473876953,3.04016876220703,59.4912109375,-122.4881805,48.75953075
6,VertNet,"20",35.5179100036621,57.7625007629395,167.965393066406,329.647521972656,14.7537965774536,59.6724967956543,-152.5169889,57.7641475
6.5886363635,VertNet,"21",59.021167755127,58.3291664123535,148.466400146484,324.960662841797,15.2492122650146,116.855194091797,-134.59887,58.33136
6.75,VertNet,"23",17.3038597106934,58.6875,219,332.441986083984,42.2669982910156,134.180053710938,-156.661389,58.688333
7.2536363635,VertNet,"24",120.576736450195,59.4541664123535,166.885696411133,319.516662597656,21.206485748291,168.735900878906,-135.31701,59.45198
7.5,VertNet,"26",70.7897872924805,59.4541664123535,162.978713989258,317.878875732422,20.0322856903076,168.669403076172,-135.32916,59.45799
8.042857143,VertNet,"27",142.054870605469,59.5041656494141,176.171661376953,323.780212402344,25.2065715789795,172.1796875,-135.2641,59.50268
5.6,VertNet,"28",132,64.8375015258789,228,320.65673828125,99.7804183959961,200.806945800781,-147.719,64.84
5.4,VertNet,"29",271.582214355469,64.8541641235352,225,324.306243896484,91.6137542724609,200.770965576172,-148.04854,64.85539592
8.966666667,WCS Canada,"30",294.015563964844,59.5208320617676,227,323.758636474609,93.1707000732422,178.407806396484,-112.2208398,59.52443731
9.913636364,WCS Canada,"31",225.524353027344,60.0541648864746,228,324.353240966797,95.5456771850586,182.090454101562,-112.6789459,60.0516462
9.625,WCS Canada,"32",263.416931152344,59.7374992370605,227.107482910156,323.884857177734,94.1978225708008,180.511779785156,-112.2184442,59.73902798
9.940740741,WCS Canada,"33",259.784729003906,59.7541656494141,227,323.775726318359,94.1620712280273,180.738265991211,-112.2019882,59.75191402
8.221621622,SERDP,"34",1483.2734375,47.1208343505859,210.718338012695,312.537322998047,22.558874130249,116.309684753418,-111.006973,47.12429
6.72,SERDP,"35",1874.7734375,41.8125,191.611419677734,301.172729492188,21.6272201538086,112.69514465332,-111.6242,41.814193
11.20540541,Schowalter 1980,"36",1532.66723632812,53.029167175293,236.019180297852,337.020874023438,49.0482940673828,162.913238525391,-117.33,53.03
10.55,Mcguire 2009,"37",351.611236572266,45.2958335876465,200.567642211914,296.619903564453,37.4851684570312,116.443237304688,-76.9,45.3
9.55,Fenton 1970,"38",376.494323730469,47.404167175293,224.315536499023,309.827270507812,56.2085990905762,138.483245849609,-80.435,47.4018
12.56,McGuire2016,"39",221.86198425293,53.1041679382324,217,310.873657226562,72.9729537963867,153.589065551758,-99.16,53.1
9.1230057145,Kunz 1995,"41",694.3740234375,43.2374992370605,203.615631103516,299.039306640625,27.3208236694336,101.354927062988,-73.038697,43.240711
10.3,Fenton 1970,"43",412.338012695312,48.9791679382324,236.862380981445,323.044494628906,62.0709037780762,130.37239074707,-87.4,48.98
9.5,Fenton 1970,"44",239.428192138672,46.2874984741211,208.210067749023,303.729797363281,38.7055358886719,120.307350158691,-81.859,46.29
7.7625,Johnson 2016,"45",2229.63012695312,44.9291648864746,242.455718994141,327.101013183594,40.9869728088379,144.733749389648,-110.67,44.93
